GNL3IISW   journalArticle 2025 A symbolic violence approach to gender inequality in academia | Afua Owusu‐Kwarteng, Cynthia Forson, Olufunmilola (Lola) Dada, Sarah Jack
UQ8Y4KA7   journalArticle 2023 Evidence from a within-language comparison in Japanese for orthographic depth theory: Monte Carlo simulations, corpus-based analyses, neural networks, and human experiment | Keisuke Inohara, Taiji Ueno
Z6YQ5PEI   journalArticle 2025 Exploring the Experiences of Women Academics in England: The Combined Effects of Societal, Structural and Life-Stage Factors | Aimee Quickfall
8V8TVKW9   journalArticle 2026 Female celebrity academics – who are they and what do they signify for higher education? | Joanna Richards
GIVY46HG   journalArticle 2023 Fully Promoted: The Distribution and Determinants of Full Professorship in the Economics Profession | Marieke Kleemans, Rebecca Thornton
GNUIKBTM   journalArticle 2025 Gender Inequality in International Research Engagement Amid Transformation to Global and Neoliberal Academia: The Case of Japan | Megumi Watanabe
VFWQPUQZ   journalArticle 2023 Gender and retention patterns among U.S. faculty | Katie Spoon, Nicholas LaBerge, K Hunter Wapman, Sam Zhang, Allison C Morgan, Mirta Galesic, Bailey K Fosdick, Daniel B Larremore, Aaron Clauset
NFHHNMPZ   journalArticle 2021 Gender bias in academia: A lifetime problem that needs solutions | Anaïs Llorens, Athina Tzovara, Ludovic Bellier, Ilina Bhaya-Grossman, Aurélie Bidet-Caulet, William K. Chang, Zachariah R. Cross, Rosa Dominguez-Faus, Adeen Flinker, Yvonne Fonken, Mark A. Gorenstein, Chris Holdgraf, Colin W. Hoy, Maria V. Ivanova, Richard T. Jimenez, Soyeon Jun, Julia W. Y. Kam, Celeste Kidd, Enitan Marcelle, Deborah Marciano, Stephanie Martin, Nicholas E. Myers, Karita Ojala, Anat Perry, Pedro Pinheiro-Chagas, Stephanie K. Riès, Ignacio Saez, Ivan Skelin, Katarina Slama, Brooke Staveland, Danielle S. Bassett, Elizabeth A. Buffalo, Adrienne L. Fairhall, Nancy J. Kopell, Laura J. Kray, Jack J. Lin, Anna C. Nobre, Dylan Riley, Anne-Kristin Solbakk, Joni D. Wallis, Xiao-Jing Wang, Shlomit Yuval-Greenberg, Sabine Kastner, Robert T. Knight, Nina F. Dronkers
G8ZXCE5H   journalArticle 2023 Gender gaps at the academies | David Card, Stefano DellaVigna, Patricia Funk, Nagore Iriberri
9YERC4NL   journalArticle 2025 Gender gaps in the promotion of mid-career university academic staff: a meta-analytic study | Geraldy Sepúlveda-Páez, Carmen Araneda-Guirriman, Gabriel Peñaloza Diaz
7E8P7BD2   journalArticle 2023 Gender inequality and self-publication are common among academic editors | Fengyuan Liu, Petter Holme, Matteo Chiesa, Bedoor AlShebli, Talal Rahwan
C9JCJQD7   journalArticle 2025 Gender inequality in Japanese academia | Sarah Cosentino
NQZ48QZN   journalArticle 2021 Gender inequality in academia: Problems and solutions for women faculty in STEM | Bettina J. Casad, Jillian E. Franks, Christina E. Garasky, Melinda M. Kittleman, Alanna C. Roesler, Deidre Y. Hall, Zachary W. Petzel
DU64M49W   journalArticle 2015 Gender promotion differences in economics departments in Japan: A duration analysis | Ana Maria Takahashi, Shingo Takahashi
76M2FLDC   journalArticle 2024 Gender-specific features in contemporary Japanese names | Ivona Barešová, Tereza Nakaya, Vladimír Matlach
FNJE5INP   journalArticle 2013 Global gender disparities in science | Cassidy R Sugimoto
BUIDZZ66   journalArticle 2020 Growing citation gender gap | Zoe Budrikis
DA8R7267   journalArticle 2024 Hierarchies and paradoxes: How women in non-tenure-track faculty positions experience a gendered organization. | A. Emiko Blalock, Alyssa Stefanese-Yates
PHUXQUAJ   journalArticle 2020 Historical comparison of gender inequality in scientific careers across countries and disciplines | Junming Huang, Alexander J. Gates, Roberta Sinatra, Albert-László Barabási
TDRWY3S9   journalArticle 2026 Internationalisation in Japanese higher education through the lens of women’s leadership | Akiyoshi Yonezawa, Keiko Sasaki, Ginko Kawano, Meiying Huang, Yuko Takahashi
G9K9SQRQ   journalArticle 2023 Intersectional barriers to women’s advancement in higher education institutions rewarded for their gender equity plans | Gail Crimmins, Sarah Casey, Maria Tsouroufli
7SFUSLXZ   journalArticle 2015 Jane, John … Leslie? A Historical Method for Algorithmic Gender Prediction | Cameron Blevins, Lincoln Mullen
MW2HQSZH   attachment          Japan (EN) | 
6FZ8VN3X   journalArticle 2022 Japan's Academic Barriers to Gender Equality as Seen in a Comparison of Public and Private Medical Schools: A Cross-Sectional Study | Natsuko Nagano, Takashi Watari, Yukihisa Tamaki, Kazumichi Onigata
YB7I3LM4   journalArticle 2024 Legislating gender equality in academia: direct and indirect effects of state-mandated gender quota policies in European academia | Aliza Forman-Rabinovici, Hadas Mandel, Anne Bauer
6AGGFI6P   journalArticle      Limits to meritocracy? Gender in academic recruitment and promotion processes | Mathias W. Nielsen
GVFNLQ7L   journalArticle 2016 Limits to meritocracy? Gender in academic recruitment and promotion processes | Mathias W. Nielsen
GM8334F4   journalArticle 2025 Perceived Victimhood and Hostility Toward Political Opponents in the US: The Moderating Role of Cross-Cutting and Like-Minded News Consumption | Muhammad Ehab Rasul, Saifuddin Ahmed, Jaeho Cho, Samantha Moore-Berg
GJANEPES   journalArticle 2017 Professional fulfillment and parenting work-life balance in female physicians in Basic Sciences and medical research: a nationwide cross-sectional survey of all 80 medical schools in Japan | Yuka Yamazaki, Takanori Uka, Eiji Marui
PYN8685G   journalArticle 2017 Publish and Perish? An Assessment of Gender Gaps in Promotion to Tenure in Academia | Katherine Weisshaar
ZX58N6K8   journalArticle 2023 Quantifying gender imbalance in East Asian academia: Research career and citation practice | Kazuki Nakajima, Ruodan Liu, Kazuyuki Shudo, Naoki Masuda
8R4NR3IG   journalArticle 2022 Quantifying hierarchy and dynamics in US faculty hiring and retention | K. Hunter Wapman, Sam Zhang, Aaron Clauset, Daniel B. Larremore
F2JAE2SU   report         2019 Researchmap Develer Portal. Web API | JST
N3VX2TIV   report         2025 Same As it Ever Was: Gender, Race, and Ethnicity Differences in Promotion for Academic Economists | Donna Ginther, Shulamit Kahn, Daria Milakhina
RZ3THVZS   journalArticle 2024 Simply academic or damaging. What are the implications of academic stereotypes for women? | Joanna Richards
SLRVTN7F   journalArticle 2015 Systematic inequality and hierarchy in faculty hiring networks | Aaron Clauset, Samuel Arbesman, Daniel B. Larremore
WDJ9CSZR   conferencePaper 2025 Taming Overconfidence in LLMs: Reward Calibration in RLHF | Jixuan Leng, Chengsong Huang, Banghua Zhu, Jiaxin Huang
LTDSJDGD   journalArticle 2025 Tenure and research trajectories | Giorgio Tripodi, Xiang Zheng, Yifan Qian, Dakota Murray, Benjamin F. Jones, Chaoqun Ni, Dashun Wang
7N6ZX7SE   journalArticle 2022 The effect of cross-cutting exposure on attitude change: examining the mediating role of response behaviors and the moderating role of openness to diversity and social network homogeneity | Hsuan-Ting Chen, Minwei Ai, Jing Guo
HB7XR7M8   journalArticle 2022 The effect of cross-cutting exposure on attitude change: examining the mediating role of response behaviors and the moderating role of openness to diversity and social network homogeneity | Hsuan-Ting Chen, Minwei Ai, Jing Guo
J2CTRK7F   journalArticle 2020 The extent and drivers of gender imbalance in neuroscience reference lists | Jordan D. Dworkin, Kristin A. Linn, Erin G. Teich, Perry Zurn, Russell T. Shinohara, Danielle S. Bassett
ACVMYTJG   journalArticle 2018 The role of semantic processing in reading Japanese orthographies: an investigation using a script-switch paradigm | Alexandra S. Dylman, Mariko Kikutani
SQZSE8QG   journalArticle 2021 The very ivory tower: pathways reproducing racial-ethnic stratification in US academic science | Robert A. Thomson Jr, Esmeralda Sánchez Salazar, Elaine Howard Ecklund
CZEDPCID   journalArticle 2021 Tracing the context in disciplinary classifications: A bibliometric pairwise comparison of five classifications of journals in the social sciences and humanities | Linda Sīle, Raf Guns, Frédéric Vandermoere, Gunnar Sivertsen, Tim C. E. Engels
9C4UZW6B   journalArticle 2025 Unpacking gender discrepancies in academic promotion across STEM fields in Mexico | Lauren Lanahan, Claudia Gonzalez-Brambila, Daniel Erian Armanios
27LFVHME   journalArticle 2026 What is digital democracy? | Christian Fuchs
CUT28374   journalArticle 2026 When the political becomes private: longitudinal dynamics between privacy concerns, cost–benefit calculations, and political expression in social media | German Neubaum, Yannic Meier, Hannah Decker, Jana H. Dreston
A2EKR9IR   journalArticle 2022 Women are credited less in science than men | Matthew B. Ross, Britta M. Glennon, Raviv Murciano-Goroff, Enrico G. Berkes, Bruce A. Weinberg, Julia I. Lane
