data_segment,current_available_data,observed_problem,missing_data,reconfirmation_required,supplement_required,impact_on_study2,proposed_action,priority
Institution standardization,"institute_property original_institute to college mapping","Exact match covers 52.22% of PhD career rows; standardized college values require language/identity review","canonical ID; alias confidence; unmatched-name resolution","Confirm college field language, provenance and uniqueness","canonical institution table with aliases","String changes can be falsely counted as moves","Create versioned alias crosswalk with match method and confidence",CRITICAL
Institution history,"Current names and codes","No effective-dated rename/merger history","predecessor/successor IDs; effective dates","Confirm ID policy for renamed and merged universities","historical institution lineage table","Renames/mergers may create false institutional moves","Collapse lineage-preserving changes; flag true organizational mergers separately",HIGH
Institution hierarchy,"Affiliation and section strings plus code","University, faculty, graduate school and hospital may share or split codes","parent institution ID; unit type","Confirm whether rm_institution_code is campus/unit/parent code","parent-child institution crosswalk","Within-university unit changes may be counted as external moves","Count moves at parent-institution level; retain unit changes separately",CRITICAL
Institution properties,"college_country exists in property table","zone, operation_type and college_type are 100% empty","national/public/private; university/research institute; sector","Confirm whether updated property values exist upstream or require another permission/table","official institution property snapshot","Cannot adjust for institution type or describe destination sector","Do not model empty fields; request populated official properties",HIGH
Geography,"address_country on career rows; college_country in partial property mapping","address_country missing for 89.14% of PhD career rows; prefecture absent","prefecture; city; validated country crosswalk","Confirm country precedence between career and institution property","official institution geography crosswalk","Domestic/overseas context is incomplete; geographic mobility unavailable","Use country only where validated; defer prefecture mobility",MEDIUM
Rank standardization,"Combined Japanese/English job and affiliation text","41.64% raw job fields empty; 46.30% rows unresolved by conservative broad-rank rules","validated rank dictionary; ambiguity flag","Confirm historical titles including 助教授 and institution-specific titles","manual title audit and standardized rank dictionary","AP event and pre-AP career states can be misclassified","Prioritize AP dictionary; stratified manual review of unresolved/frequent titles",CRITICAL
First AP event,"27,476 valid-PhD researchers have AP text; 26,805 have valid AP year","671 lack AP start year; 7,829 use affiliation text for AP evidence; 1,837 first observed at AP or tied","event-quality and left-truncation flags","Confirm title patterns and handling of embedded titles/ties","rank-title audit with manual-review outcomes","Outcome error and left truncation affect promotion timeline","Use validated AP only; exclude first-observed AP in main risk set; sensitivity analysis",CRITICAL
Concurrent/overlap records,"Year and month intervals can be expanded","Year overlap overstates concurrency; 34,274 are same-year sequential movers; 17,548 strict different-institution month-overlap candidates","primary role; workload; exact day ordering for month-only records","Confirm end-date inclusivity and whether secondary roles are included","primary/full-time fields or labelled concurrency sample","Raw overlap cannot be treated as multiple full-time jobs","Separate sequential moves from concurrent candidates; flag ambiguity",CRITICAL
Censoring and observation endpoint,"record modified timestamps and open intervals","Record update is not a guaranteed observation endpoint; source snapshot is uneven","researcher-level last-observed date; profile completeness","Confirm extraction date and whether missing recent records mean censoring or stale profile","snapshot manifest and researcher coverage endpoint","Censor year and risk duration may be wrong","Define conservative common endpoint and coverage sensitivity samples",CRITICAL
Move-count construction,"Career intervals and institution keys","Raw record count mixes unit changes, aliases, visits and true moves","canonical primary institution-year sequence","Confirm move definition and same-year rules before analysis","validated move-event table with reason/quality flags","Main explanatory variable may be systematically mismeasured","Freeze move rules before modeling; audit random and edge cases",CRITICAL
Ranking and institution size,"Not required for core move-count model","No validated linked annual ranking/size panel in current feasibility source","annual ranking percentile; student/faculty counts; coverage indicators","Confirm these remain secondary robustness variables","external ranking and official institution statistics crosswalk","Should not block core Study 2 but affects secondary interpretation","Defer until core move panel is valid; document coverage",LOW
